,Followers,Handle,Influencer-Score,Latitude,Longitude,Total Tweets by user,Tweet,User,User location,Tier
67,364884,ICEgov,516.716192388025,38.890370000000075,-77.03195999999997,11803,"With a workforce numbering approx. 20,000 including deportation officers, special agents &amp; professional staff, ICE stands at the forefront of our nation's efforts to strengthen border security &amp; prevent the illegal movement of people, goods, &amp; funds into, within, &amp; out of the US https://t.co/gYR0yu3Yq6",ICE,"Washington, DC",Mid
68,273841,JRubinBlogger,175.8374731665347,38.890370000000075,-77.03195999999997,83748,"in addition to the R racism, xenophobia, misogyny, hostility to global markets and religious conformity, R’s ’ outright hostility to even recognizing the No. 1 issue for many voters — the future of the planet — carries potential for big losses https://t.co/svuHjjfu9J",Jennifer Rubin,Washington DC,Mid
69,206935,JamesRosenTV,66.55016212608487,38.890370000000075,-77.03195999999997,25754,"I am honored to be accompanying @SecPompeo on his trip to #Europe, reporting for @WeAreSinclair.",James Rosen,"Washington, D.C.",Mid
70,217217,JamilSmith,4.848879589883672,-119.30660750000001,37.2691755,87994,"What Kushner said when asked about the Saudi prince and Jamal Khashoggi: “Look, it's a horrific thing that happened...Once we have all the facts, then we'll make a policy determination, but that would be up to the Secretary of State to push on our policy."" https://t.co/gGsEi5ExuO",Jamil Smith,"Los Angeles, CA",Mid
71,353349,JaySekulow,986.3768244005827,38.890370000000075,-77.03195999999997,13425,"It’s unthinkable that Members of #Congress would engage in #AntiSemitic attacks, or that a #Muslim doctor would threaten to harm #Jewish patients. But this is happening. The @ACLJ is fighting against this hatred, &amp; your help is needed. Sign today. https://t.co/bJCxBUGAV3 https://t.co/zUorAdRkE0",Jay Sekulow,"Washington, DC",Mid
72,416733,Jerusalem_Post,15.948436268244775,31.97771151200004,34.97921769200008,200519,"#BREAKING 
#Netanyahu: Kushner brought me #Trump-signed map of #Israel with Golan

https://t.co/QzwGH8HIne",The Jerusalem Post,Israel,Mid
73,203998,JohnCornyn,46.6814414944015,30.26759000000004,-97.74298999999996,31424,"In rural Guatemala, there is a widespread belief that bringing a child on the journey to the United States will make it easier to avoid detention and deportation. https://t.co/M3y0cmYsN4",Senator John Cornyn,"Austin, Texas",Mid
74,100627,JordanSekulow,1.9771189828292377,38.890370000000075,-77.03195999999997,31989,#Israel is #America’s ally. We have to defend Israel against attacks of all kinds. Rockets. Terrorism. #AntiSemitism. It’s our duty. Stand with Israel - let your voice be heard today. https://t.co/jaA0Nfe1ha,Jordan Sekulow,"Washington, DC",Mid
75,1399668,JoyAnnReid,2192.7150639937036,40.71455000000003,-74.00713999999994,146552,"Kushner's visible agitation during the Russia section ... and to go way back, his answer on refugees during part one at his home... this is quite an interview.",Joy Reid,NYC,Macro
76,64098,Joyce_Karam,430.52752659169323,38.890370000000075,-77.03195999999997,32872,"#Israel PM Netanyahu has had his worst day in politics, but to make him feel better Jared Kushner hand delivered new US map showing annexed Golan Heights as part of Israel. Trump wrote “Nice”: https://t.co/T2Sh09FwqF",Joyce Karam,"Washington, DC",Micro
77,351410,JuddLegum,33125.3113981701,38.890370000000075,-77.03195999999997,52952,"Kushner, who is manifestly unqualified for his job, says the number of refugees  admitted to the United States ""doesn’t make a difference one way or the another.""

It is literally the difference between life and death for many refugees. https://t.co/SKcx4MdkPL",Judd Legum,"Washington, DC",Mid
78,215846,JulianCastro,768.446969990031,29.42458000000005,-98.49460999999997,8554,"In my administration, we will decriminalize border crossings, end family detention, reinstate DACA and DAPA, protect TPS and DED holders, and not spend one penny on a ridiculous border wall. #UnityFreedomForum",Julián Castro,"San Antonio, TX",Mid
79,444662,KTVU,2.2521669594781617,37.80508000000003,-122.27306999999996,203626,"Frozen pizza, ice cream &amp; doughnuts among ultra-processed foods linked to early death  https://t.co/zGIf12JhwP",KTVU,"Oakland, CA",Mid
80,53615,KenCarman,1.5286799380292124,41.50473000000005,-81.69073999999995,132803,@jake_burns18 Skipping voluntary workouts because of gravy pants? I don't think we can trust you in September.,Ken Carman,"Cleveland, Ohio",Micro
81,281307,KenRoth,37.7742822024218,40.71455000000003,-74.00713999999994,63981,"Assad to Syrian refugees: Please come home. Then for many of you I'll have you arrested, tortured, and perhaps executed. But it's safe to return, believe me. Because we need to pretend things are normal to convince Europe to pay for reconstruction. https://t.co/drHwlRl2H9 https://t.co/iAs4FN9wTO",Kenneth Roth,New York,Mid
82,49143,Kevin_Shipp,3.4633431495931415,-83.1738665,32.6782075,6306,"The elite begin to show their true colors.
https://t.co/hOvO0vjkCw",Kevin Shipp,"Washington, DC",Micro
83,185434,KurtSchlichter,16.053375413549396,33.887200000000064,-118.41085999999996,389251,"You are correct that he did not volunteer, though his bone spurs would have prevented his voluntary enlistment.
Is not volunteering now your standard?
I want to be clear on the rule so we can apply it to people you like as well. https://t.co/cTvNGurUH5",Kurt Schlichter,Manhattan Beach CA,Mid
84,125481,LaRadioSquad,2.592062283231153,-15.133329999999944,-61.11666999999994,7408,"1982: #PinkFloyd estrena ""The Wall"" en el Festival de Cannes.
1987: #Helloween lanza ""Keeper Of The Seven Keys. Pt. 1"".
1989: #Ramones lanzan ""Brain Drain"".
1991: #Nirvana toma las fotos para ""Nevermind"".
2005: #Audioslave lanza ""Out Of Exile"".

#ElFierroteDelMetal
#LaRadioSquad",Radio Squad,El Infierno,Mid
85,69791,LannyDavis,11.937684226551376,38.904771192000055,-77.01632174599996,4891,Is there one GOP supporter of ⁦@realDonaldTrump⁩ in the US congress willing to say that he or she is bothered by .⁦@realDonaldTrump⁩ saying he is in love with this murdering thug Kim Jong Un? Just one? Please - .⁦@LindseyGrahamSC⁩ ? https://t.co/f41KUw7GmW,Lanny Davis,DC,Micro
86,1370487,LeonKrauze,26.002871673520097,34.05349000000007,-118.24531999999999,135580,"It seems that the idea of ​​forcing Mexico to declare itself a supposed ""safe third country"" will be at the center of  Trump’s demands.
The idea is not new...and it is unsustainable.
I explained why in this column for the @washingtonpost.
 https://t.co/W8rKVt9aZF",León Krauze,"Los Angeles, CA",Macro
87,401871,Local4News,1.6129442224549166,42.33168000000006,-83.04799999999994,132261,"Private donors are helping fund a section of border wall in southern New Mexico, and a 7-year-old selling hot chocolate. https://t.co/8ZdXQ9ZKp9",Local 4 WDIV Detroit,"Detroit, MI",Mid
88,1285721,LollyDaskal,6.542082783910337,40.71455000000003,-74.00713999999994,339510,"GROUND RULES FOR GREAT LEADERS
Be humble
Be available
Be accessible
Be kind
Be supportive
Be inspiring 
@LollyDaskal #Leadership #Management",Lolly Daskal,New York City,Macro
89,900073,MSF_USA,2.709428735160837,40.71455000000003,-74.00713999999994,24032,"People forced to flee their countries have the right to urgent protection and care. 

Here's what's happening along the Central American migration route. https://t.co/zo3Z47sFIP https://t.co/WqJSGJ15s5",Doctors w/o Borders,"New York, NY",Macro
90,11748,ManishaKrishnan,1.9959213308041401,43.648690000000045,-79.38543999999996,9513,"a farm owned by the Aquilinis—who own the Canucks—has been accused of sexually harassing female temp workers from Guatemala, forcing them to work in crowded/unsanitary conditions, and threatening them w/ deportation. @jamiedmaxwell's investigation: https://t.co/jSv5rzQFnU",𝐦𝐚𝐧𝐢𝐬𝐡𝐚 𝐤𝐫𝐢𝐬𝐡𝐧𝐚𝐧,"Toronto, Ontario",Micro
91,25584,MarkSKrikorian,1.284904601929949,38.890370000000075,-77.03195999999997,70565,"The current border disaster is a new thing, started small right after Obama's DACA decree, and has gained force because b/c of incentives in our laws. A fake asylum claim almost never results in deportation, so once you're past the border, you're home free. We can change that. https://t.co/mBkpALR9wg",Mark Krikorian,"Washington, DC",Micro
92,63962,MarkYusko,2.1467521409374206,35.91489000000007,-79.05676999999997,81050,"“There’s no means of avoiding final collapse of boom brought about by credit expansion.  Only alternative is whether crisis should come sooner as result of voluntary abandonment of further credit expansion, or later as final &amp; total catastrophe of currency system involved.” Mises",Mark W. Yusko,"Chapel Hill, NC",Micro
